version	num stations	likelihood lon	likelihood lat	likelihood mag	prior lon	prior lat	posterior lon	posterior lat	posterior mag
0.0	5.0	-121.492107602	36.7999758207	4.10944573007	-120.998123981	35.6667374676	-121.379838597	36.7460120896	4.1460564416
1.0	6.0	-121.379838597	36.7460120896	4.2522012009	-120.99821386	35.6667385582	-121.357390083	36.7280241974	4.34992685319
2.0	6.0	-121.379838597	36.7460120896	4.2522012009	-120.99821386	35.6667385582	-121.357390083	36.7280241974	4.34992685319
3.0	6.0	-121.379838597	36.7460120896	4.2522012009	-120.99821386	35.6667385582	-121.357390083	36.7280241974	4.34992685319
4.0	6.0	-121.379838597	36.7460120896	4.2522012009	-120.99821386	35.6667385582	-121.357390083	36.7280241974	4.34992685319
5.0	6.0	-121.379838597	36.7460120896	4.2522012009	-120.99821386	35.6667385582	-121.357390083	36.7280241974	4.34992685319
6.0	6.0	-121.379838597	36.7460120896	4.4226010959	-120.99821386	35.6667385582	-121.357390083	36.7280241974	4.52032674819
7.0	9.0	-121.357390083	36.7460120715	4.36915680167	-120.998298377	35.6667396305	-121.357390083	36.7460120715	4.36915680167
8.0	10.0	-121.357390083	36.7460120715	4.35756276577	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.35756276577
9.0	11.0	-121.357390083	36.7460120715	4.30449014788	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.30449014788
10.0	11.0	-121.357390083	36.7460120715	4.30449014788	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.30449014788
11.0	11.0	-121.357390083	36.7460120715	4.30607841333	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.30607841333
12.0	11.0	-121.357390083	36.7460120715	4.31077209333	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.31077209333
13.0	11.0	-121.357390083	36.7460120715	4.31077209333	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.31077209333
14.0	11.0	-121.357390083	36.7460120715	4.31077209333	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.31077209333
15.0	11.0	-121.357390083	36.7460120715	4.31077209333	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.31077209333
16.0	11.0	-121.357390083	36.7460120715	4.31077209333	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.31077209333
17.0	11.0	-121.357390083	36.7460120715	4.31077209333	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.31077209333
18.0	13.0	-121.357390083	36.7460120715	4.27563354681	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27563354681
19.0	13.0	-121.357390083	36.7460120715	4.27563354681	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27563354681
20.0	13.0	-121.357390083	36.7460120715	4.27563354681	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27563354681
21.0	13.0	-121.357390083	36.7460120715	4.27563354681	-120.998213861	35.6667385401	-121.357390083	36.7460120715	4.27563354681
