eventid	version	event lat	event lon	depth	sta	chan	net	loc	lat	lon	date	tt	dist	ttok	dok	nttok	ndok	ttmin	ttmax	relo	nlat	nlon	ndep	ntime	nrms	nave	fitok	dmin	mdok	percent	pok
900	57	32.3835	-115.2411	8.0	SJX	HHZ	BC	--	32.0048	-115.948	2018-11-09T05:57:19.885	13.31	78.73	1	1	0	0	-0.16	20.47	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	70.4	1
900	59	32.3835	-115.2411	8.0	BAR	HHZ	CI	--	32.6801	-116.6722	2018-11-09T05:57:28.678	22.1	138.16	1	1	0	0	7.27	35.92	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	45.5	1
900	61	32.3835	-115.2411	8.0	CBX	HHZ	BC	--	32.3131	-116.6636	2018-11-09T05:57:28.405	21.83	133.86	1	1	0	0	6.73	34.8	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	47.7	1
900	63	32.3835	-115.2411	8.0	LYP	HNZ	CI	--	32.7033	-116.7548	2018-11-09T05:57:30.373	23.8	146.27	1	1	0	0	8.28	38.03	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	44.9	1
900	68	32.3835	-115.2411	8.0	SFX	HHZ	BC	--	31.0376	-114.851	2018-11-09T05:57:31.735	25.16	154.14	1	1	0	0	9.27	40.08	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	43.4	1
900	68	32.3835	-115.2411	8.0	EML	HHZ	CI	--	32.8908	-116.8457	2018-11-09T05:57:32.188	25.61	160.49	1	1	0	0	10.06	41.73	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	40.7	1
900	74	32.3835	-115.2411	8.0	HAY	HHZ	CI	--	33.7073	-115.6389	2018-11-09T05:57:33.938	27.36	151.8	1	1	0	0	8.97	39.47	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	42.4	1
900	78	32.3835	-115.2411	8.0	CTW	HHZ	CI	--	33.6773	-115.8721	2018-11-09T05:57:34.818	28.24	155.42	1	1	0	0	9.43	40.41	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	44.1	1
900	82	32.3835	-115.2411	8.0	THM	HHZ	CI	--	33.6507	-116.0773	2018-11-09T05:57:39.268	32.69	161.04	1	1	0	0	10.13	41.87	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	45.0	1
900	85	32.3835	-115.2411	8.0	TJX	HNZ	BC	--	32.5102	-117.0543	2018-11-09T05:57:34.475	27.9	170.72	1	1	0	0	11.34	44.39	0	0.0	0.0	0.0	1970-01-01T00:00:00.00	0.0	0.0	1	0.0	0	41.2	1
