eventid	version	update	order	sta	chan	net	loc	lat	lon	trigger time	rsmp	tsmp	log taup	taup snr	dsmp	log pd	pd snr	assoc	tpmag	utpm	pdmag	updm	uch	ukm	upd	ups	utp	uts	tel	tsec	distkm	azimuth	TF	tterr	azerror	incid	plen	sps
900	6	2	7	EMS	HNZ	CI	--	32.7392	-114.9852	2018-11-09T05:57:14.500	49	0	1e-60	0.0	41	-3.509313	16807.89	TTWINDOW	5.221	0	3.385	1	1	1	1	1	1	0	0	0.0	47.3	33.35	0	0.131	-1.0	0.0	100	100.0
900	6	2	8	COA	HHZ	CI	--	32.8634	-115.1234	2018-11-09T05:57:15.708	25	0	1e-60	0.0	24	-3.616198	1570.381	TTWINDOW	5.221	0	3.343	1	1	1	1	1	1	0	0	0.0	54.9	13.74	3	0.143	-1.0	0.0	100	100.0
900	7	5	1	CPX	HHZ	BC	--	32.4195	-115.305	2018-11-09T05:57:08.045	321	51	-0.2051785	7070.467	207	-2.049855	64028.88	MULTISTA	3.855	1	3.907	1	1	1	1	1	1	1	0	0.0	5.7	314.9	0	0.172	-1.0	0.0	143	100.0
900	7	4	2	CPX	HNZ	BC	--	32.4195	-115.305	2018-11-09T05:57:08.095	401	60	-0.3147562	6521.37	216	-2.076659	13571.28	MULTISTA	3.126	1	3.874	1	1	1	1	1	1	1	0	0.0	5.7	314.9	0	0.122	-1.0	0.0	148	100.0
900	7	2	4	GUVIX	HHZ	BC	--	32.3029	-115.076	2018-11-09T05:57:10.095	167	72	-0.4185556	155448.0	12	-2.64287	289193.1	MULTISTA	2.434	1	3.925	1	1	1	1	1	1	1	0	0.0	19.7	116.94	0	0.099	-1.0	0.0	162	100.0
900	7	2	3	GUVIX	HNZ	BC	--	32.3029	-115.076	2018-11-09T05:57:10.095	108	72	-0.4099746	120421.7	12	-2.665545	422815.2	MULTISTA	2.492	1	3.897	1	1	1	1	1	1	1	0	0.0	19.7	116.94	0	0.099	-1.0	0.0	151	100.0
900	7	3	5	5054	HNZ	NP	10	32.6932	-115.3382	2018-11-09T05:57:13.010	198	198	-0.2570054	297.8758	79	-3.293141	7018.732	MULTISTA	3.51	1	3.473	1	1	1	1	1	1	1	0	0.0	35.2	348.31	0	-0.336	-1.0	0.0	100	100.0
900	7	3	6	5053	HNZ	NP	10	32.6695	-115.4925	2018-11-09T05:57:13.630	136	115	-0.5057564	18.01289	12	-3.03149	122.9018	TTWINDOW	1.854	1	3.848	1	1	1	1	1	1	1	0	0.0	38.4	325.78	0	-0.43	-1.0	0.0	100	100.0
900	7	3	7	EMS	HNZ	CI	--	32.7392	-114.9852	2018-11-09T05:57:14.500	149	102	-0.404698	2865.624	41	-3.509313	16807.89	TTWINDOW	2.527	1	3.385	1	1	1	1	1	1	1	0	0.0	47.3	33.35	0	0.131	-1.0	0.0	100	100.0
900	7	2	8	COA	HHZ	CI	--	32.8634	-115.1234	2018-11-09T05:57:15.708	25	0	1e-60	0.0	24	-3.616198	1570.381	TTWINDOW	5.221	0	3.343	1	1	1	1	1	1	0	0	0.0	54.9	13.74	3	0.143	-1.0	0.0	100	100.0
