eventid	version	nT	index	sta	chan	net	loc	lat	lon	U	dist	tt	tterr
900	14	12	10	DRE	HHZ	CI	--	32.8053	-115.4468	1	50.7	8.96	-0.2865
900	14	12	11	DRE	HNZ	CI	--	32.8053	-115.4468	1	50.7	8.97	-0.2965
900	14	12	12	5058	HNZ	NP	10	32.7517	-115.5952	1	52.7	9.09	-0.0982
900	14	13	1	CPX	HHZ	BC	--	32.4195	-115.305	1	7.2	1.44	0.4469
900	14	13	2	CPX	HNZ	BC	--	32.4195	-115.305	1	7.2	1.49	0.3969
900	14	13	3	GUVIX	HNZ	BC	--	32.3029	-115.076	1	17.9	3.49	-0.0758
900	14	13	4	GUVIX	HHZ	BC	--	32.3029	-115.076	1	17.9	3.49	-0.0758
900	14	13	5	5054	HNZ	NP	10	32.6932	-115.3382	1	35.6	6.41	-0.1617
900	14	13	6	5053	HNZ	NP	10	32.6695	-115.4925	1	39.6	7.03	-0.1413
900	14	13	7	SNR	HNZ	CI	--	32.8619	-115.436	1	56.2	9.62	-0.0646
900	14	13	8	EMS	HNZ	CI	--	32.7392	-114.9852	1	46.3	7.9	0.062
900	14	13	9	COA	HHZ	CI	--	32.8634	-115.1234	1	54.5	9.1	0.1742
900	14	13	10	DRE	HHZ	CI	--	32.8053	-115.4468	1	50.7	8.95	-0.2811
900	14	13	11	DRE	HNZ	CI	--	32.8053	-115.4468	1	50.7	8.96	-0.2911
900	14	13	12	5058	HNZ	NP	10	32.7517	-115.5952	1	52.7	9.09	-0.0928
900	14	13	13	COA	HNZ	CI	--	32.8634	-115.1234	1	54.5	9.17	0.1042
900	16	14	1	CPX	HHZ	BC	--	32.4195	-115.305	1	7.2	1.44	0.4487
900	16	14	2	CPX	HNZ	BC	--	32.4195	-115.305	1	7.2	1.49	0.3987
900	16	14	3	GUVIX	HNZ	BC	--	32.3029	-115.076	1	17.9	3.49	-0.074
900	16	14	4	GUVIX	HHZ	BC	--	32.3029	-115.076	1	17.9	3.49	-0.074
900	16	14	5	5054	HNZ	NP	10	32.6932	-115.3382	1	35.6	6.4	-0.16
900	16	14	6	5053	HNZ	NP	10	32.6695	-115.4925	1	39.6	7.02	-0.1395
900	16	14	7	SNR	HHZ	CI	--	32.8619	-115.436	1	56.2	9.58	-0.0229
900	16	14	8	EMS	HNZ	CI	--	32.7392	-114.9852	1	46.3	7.89	0.0637
900	16	14	9	COA	HHZ	CI	--	32.8634	-115.1234	1	54.5	9.1	0.176
900	16	14	10	DRE	HHZ	CI	--	32.8053	-115.4468	1	50.7	8.95	-0.2793
900	16	14	11	DRE	HNZ	CI	--	32.8053	-115.4468	1	50.7	8.96	-0.2893
900	16	14	12	5058	HNZ	NP	10	32.7517	-115.5952	1	52.7	9.08	-0.091
900	16	14	13	COA	HNZ	CI	--	32.8634	-115.1234	1	54.5	9.17	0.106
900	16	14	14	SNR	HNZ	CI	--	32.8619	-115.436	1	56.2	9.62	-0.0629
900	21	15	1	CPX	HHZ	BC	--	32.4195	-115.305	1	7.2	1.46	0.4262
900	21	15	2	CPX	HNZ	BC	--	32.4195	-115.305	1	7.2	1.51	0.3762
900	21	15	3	GUVIX	HNZ	BC	--	32.3029	-115.076	1	17.9	3.51	-0.0965
900	21	15	4	GUVIX	HHZ	BC	--	32.3029	-115.076	1	17.9	3.51	-0.0965
900	21	15	5	5054	HNZ	NP	10	32.6932	-115.3382	1	35.6	6.43	-0.1824
900	21	15	6	5053	HNZ	NP	10	32.6695	-115.4925	1	39.6	7.05	-0.1619
900	21	15	7	WES	HHZ	CI	--	32.759	-115.7316	1	62.1	10.19	0.314
900	21	15	8	EMS	HNZ	CI	--	32.7392	-114.9852	1	46.3	7.92	0.0413
900	21	15	9	COA	HHZ	CI	--	32.8634	-115.1234	1	54.5	9.13	0.1536
900	21	15	10	DRE	HHZ	CI	--	32.8053	-115.4468	1	50.7	8.98	-0.3018
900	21	15	11	DRE	HNZ	CI	--	32.8053	-115.4468	1	50.7	8.99	-0.3118
900	21	15	12	5058	HNZ	NP	10	32.7517	-115.5952	1	52.7	9.11	-0.1135
