eventid	version	sta	net	lat	lon	cluster	dist	tt	time	time check	active	trig	clu	ctrig
143	24	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:47	24.0	1	1	0	0
143	24	HAST	BK	36.3887	-121.5514	-	42.33	7.1	2018-10-05T13:29:47	22.0	1	1	0	0
143	24	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:47	27.0	1	1	0	0
143	24	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:45	24.0	1	1	0	0
143	24	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:46	23.0	1	1	0	0
143	24	HLP	NC	37.0413	-121.6319	-	42.2	7.0	2018-10-05T13:29:46	21.0	1	1	0	0
143	24	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:43	22.0	1	1	0	0
143	31	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:48	25.0	1	1	0	0
143	31	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:46	25.0	1	1	0	0
143	31	BBGB	NC	36.5785	-121.0396	-	32.88	5.5	2018-10-05T13:29:47	23.0	1	0	0	0
143	31	BSG	NC	36.4138	-121.2552	-	36.7	6.1	2018-10-05T13:29:47	23.0	1	1	0	0
143	31	HCBB	NC	36.9309	-121.6619	-	35.13	5.9	2018-10-05T13:29:48	24.0	1	1	0	0
143	31	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:48	25.0	1	1	0	0
143	31	HAST	BK	36.3887	-121.5514	-	42.33	7.1	2018-10-05T13:29:48	23.0	1	1	0	0
143	31	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:48	28.0	1	1	0	0
143	31	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:46	25.0	1	1	0	0
143	31	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:47	24.0	1	1	0	0
143	31	BPRB	NC	36.4072	-121.7307	-	49.62	8.3	2018-10-05T13:29:48	22.0	1	1	0	0
143	31	HLP	NC	37.0413	-121.6319	-	42.2	7.0	2018-10-05T13:29:47	22.0	1	1	0	0
143	31	JELB	NC	36.9274	-121.8276	-	47.39	7.9	2018-10-05T13:29:44	18.0	1	0	0	0
143	31	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:43	22.0	1	1	0	0
143	38	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:49	26.0	1	1	0	0
143	38	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:47	26.0	1	1	0	0
143	38	BBGB	NC	36.5785	-121.0396	-	32.88	5.5	2018-10-05T13:29:47	23.0	1	0	0	0
143	38	BSG	NC	36.4138	-121.2552	-	36.7	6.1	2018-10-05T13:29:48	24.0	1	1	0	0
143	38	HCBB	NC	36.9309	-121.6619	-	35.13	5.9	2018-10-05T13:29:49	25.0	1	1	0	0
143	38	JLAB	NC	37.1543	-121.7347	-	57.72	9.6	2018-10-05T13:29:49	21.0	1	1	0	0
143	38	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:49	26.0	1	1	0	0
143	38	HAST	BK	36.3887	-121.5514	-	42.33	7.1	2018-10-05T13:29:49	24.0	1	1	0	0
143	38	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:49	29.0	1	1	0	0
143	38	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:47	26.0	1	1	0	0
143	38	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:48	25.0	1	1	0	0
143	38	BPRB	NC	36.4072	-121.7307	-	49.62	8.3	2018-10-05T13:29:48	22.0	1	1	0	0
143	38	HLP	NC	37.0413	-121.6319	-	42.2	7.0	2018-10-05T13:29:49	24.0	1	1	0	0
143	38	JELB	NC	36.9274	-121.8276	-	47.39	7.9	2018-10-05T13:29:44	18.0	1	0	0	0
143	38	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:47	27.0	1	1	0	0
143	38	HMOB	NC	36.5993	-121.9181	-	52.6	8.8	2018-10-05T13:29:44	17.0	1	0	0	0
143	39	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:49	26.0	1	1	0	0
143	39	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:48	27.0	1	1	0	0
143	39	BBGB	NC	36.5785	-121.0396	-	32.88	5.5	2018-10-05T13:29:47	23.0	1	1	0	0
143	39	BSG	NC	36.4138	-121.2552	-	36.7	6.1	2018-10-05T13:29:48	24.0	1	1	0	0
143	39	HCBB	NC	36.9309	-121.6619	-	35.13	5.9	2018-10-05T13:29:49	25.0	1	1	0	0
143	39	JLAB	NC	37.1543	-121.7347	-	57.72	9.6	2018-10-05T13:29:49	21.0	1	1	0	0
143	39	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:50	27.0	1	1	0	0
143	39	HAST	BK	36.3887	-121.5514	-	42.33	7.1	2018-10-05T13:29:50	25.0	1	1	0	0
143	39	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:50	30.0	1	1	0	0
143	39	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:48	27.0	1	1	0	0
