eventid	version	update	order	sta	chan	net	loc	lat	lon	trigger time	rsmp	tsmp	log taup	taup snr	dsmp	log pd	pd snr	assoc	tpmag	utpm	pdmag	updm	uch	ukm	upd	ups	utp	uts	tel	tsec	distkm	azimuth	TF	tterr	azerror	incid	plen	sps
143	5	2	6	1865	HNZ	NP	--	36.8831	-121.3908	2018-10-05T13:29:41.270	186	123	-0.5586621	15414.83	52	-1.830575	188678.6	NEAR_SRC	1.501	1	4.832	1	1	1	1	1	1	1	0	0.0	16.9	348.42	0	-0.08	-1.0	0.0	200	200.0
143	5	3	5	PACP	HHZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5536683	13753.1	28	-2.38656	348593.4	MULTISTA	1.535	1	4.512	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.097	-1.0	0.0	100	100.0
143	5	3	4	PACP	HNZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5491537	31992.05	28	-2.428661	485357.0	MULTISTA	1.565	1	4.461	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.097	-1.0	0.0	100	100.0
143	6	4	1	SAO	HNZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.088	487	120	-0.30538	3675330.0	260	-1.89848	19859920.0	MULTISTA	3.188	1	4.374	1	1	1	1	1	1	1	0	0.0	9.0	291.36	0	-0.037	-1.0	0.0	100	100.0
143	6	4	2	SAO	HHZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.108	485	206	-0.3425431	112604.1	247	-1.875756	-1.0	MULTISTA	2.941	1	4.402	0	1	1	1	0	1	1	0	0.0	9.0	291.36	0	-0.057	-1.0	0.0	100	100.0
143	6	7	3	BSR	HNZ	NC	--	36.6674	-121.5203	2018-10-05T13:29:41.180	289	264	-0.3459127	99321.11	286	-2.132819	8073888.0	MULTISTA	2.918	1	4.453	1	1	1	1	1	1	1	0	0.0	16.7	243.64	0	-0.019	-1.0	0.0	138	100.0
143	6	2	6	1865	HNZ	NP	--	36.8831	-121.3908	2018-10-05T13:29:41.270	186	123	-0.5586621	15414.83	52	-1.830575	188678.6	NEAR_SRC	1.501	1	4.832	1	1	1	1	1	1	1	0	0.0	16.9	348.42	0	-0.08	-1.0	0.0	200	200.0
143	6	3	5	PACP	HHZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5536683	13753.1	28	-2.38656	348593.4	MULTISTA	1.535	1	4.512	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.097	-1.0	0.0	100	100.0
143	6	3	4	PACP	HNZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5491537	31992.05	28	-2.428661	485357.0	MULTISTA	1.565	1	4.461	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.097	-1.0	0.0	100	100.0
143	7	4	1	SAO	HNZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.088	487	120	-0.30538	3675330.0	260	-1.89848	19859920.0	MULTISTA	3.188	1	4.374	1	1	1	1	1	1	1	0	0.0	9.0	291.36	0	-0.026	-1.0	0.0	100	100.0
143	7	4	2	SAO	HHZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.108	485	206	-0.3425431	112604.1	247	-1.875756	-1.0	MULTISTA	2.941	1	4.402	0	1	1	1	0	1	1	0	0.0	9.0	291.36	0	-0.046	-1.0	0.0	100	100.0
143	7	7	3	BSR	HNZ	NC	--	36.6674	-121.5203	2018-10-05T13:29:41.180	289	264	-0.3459127	99321.11	286	-2.132819	8073888.0	MULTISTA	2.918	1	4.453	1	1	1	1	1	1	1	0	0.0	16.7	243.64	0	-0.008	-1.0	0.0	138	100.0
143	7	3	6	1865	HNZ	NP	--	36.8831	-121.3908	2018-10-05T13:29:41.270	386	123	-0.558662	15414.83	52	-1.830575	188678.6	NEAR_SRC	1.501	1	4.832	1	1	1	1	1	1	1	0	0.0	16.9	348.42	0	-0.068	-1.0	0.0	200	200.0
143	7	3	5	PACP	HHZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5536683	13753.1	28	-2.38656	348593.4	MULTISTA	1.535	1	4.512	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.109	-1.0	0.0	100	100.0
143	7	3	4	PACP	HNZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5491537	31992.05	28	-2.428661	485357.0	MULTISTA	1.565	1	4.461	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.109	-1.0	0.0	100	100.0
143	7	2	7	BJOB	HNZ	NC	--	36.6109	-121.3147	2018-10-05T13:29:41.090	141	54	-0.5398242	833032.6	15	-2.312031	3721618.0	NEAR_SRC	1.627	1	4.134	1	1	1	1	1	1	1	0	0.0	14.1	166.01	0	-0.309	-1.0	0.0	743	100.0
143	7	2	8	HTU	HNZ	NC	--	36.8268	-121.6435	2018-10-05T13:29:42.800	118	67	-0.2326478	12182.71	24	-2.738505	30988.3	TTWINDOW	3.672	1	4.016	1	1	1	1	1	1	1	0	0.0	27.9	291.66	3	0.141	-1.0	0.0	100	100.0
143	7	3	9	HCRB	HNZ	NC	01	36.9553	-121.582	2018-10-05T13:29:43.500	146	51	-0.3600625	12750.19	135	-2.647413	338255.1	TTWINDOW	2.824	1	4.209	1	1	1	1	1	1	1	0	0.0	31.9	320.25	0	0.098	-1.0	0.0	100	100.0
143	8	4	1	SAO	HNZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.088	487	120	-0.30538	3675330.0	260	-1.89848	19859920.0	MULTISTA	3.188	1	4.374	1	1	1	1	1	1	1	0	0.0	9.0	291.36	0	-0.012	-1.0	0.0	100	100.0
143	8	4	2	SAO	HHZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.108	485	206	-0.3425431	112604.1	247	-1.875756	-1.0	MULTISTA	2.941	1	4.402	0	1	1	1	0	1	1	0	0.0	9.0	291.36	0	-0.032	-1.0	0.0	100	100.0
143	8	7	3	BSR	HNZ	NC	--	36.6674	-121.5203	2018-10-05T13:29:41.180	289	264	-0.3459127	99321.11	286	-2.132819	8073888.0	MULTISTA	2.918	1	4.453	1	1	1	1	1	1	1	0	0.0	16.7	243.64	0	0.006	-1.0	0.0	138	100.0
143	8	3	6	1865	HNZ	NP	--	36.8831	-121.3908	2018-10-05T13:29:41.270	386	123	-0.558662	15414.83	52	-1.830575	188678.6	NEAR_SRC	1.501	1	4.832	1	1	1	1	1	1	1	0	0.0	16.9	348.42	0	-0.054	-1.0	0.0	200	200.0
143	8	3	5	PACP	HHZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5536683	13753.1	28	-2.38656	348593.4	MULTISTA	1.535	1	4.512	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.122	-1.0	0.0	100	100.0
143	8	3	4	PACP	HNZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5491537	31992.05	28	-2.428661	485357.0	MULTISTA	1.565	1	4.461	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.122	-1.0	0.0	100	100.0
143	8	2	7	BJOB	HNZ	NC	--	36.6109	-121.3147	2018-10-05T13:29:41.090	141	54	-0.5398242	833032.6	15	-2.312031	3721618.0	NEAR_SRC	1.627	1	4.134	1	1	1	1	1	1	1	0	0.0	14.1	166.01	0	-0.295	-1.0	0.0	743	100.0
143	8	2	8	HTU	HNZ	NC	--	36.8268	-121.6435	2018-10-05T13:29:42.800	118	67	-0.2326478	12182.71	24	-2.738505	30988.3	TTWINDOW	3.672	1	4.016	1	1	1	1	1	1	1	0	0.0	27.9	291.66	3	0.154	-1.0	0.0	100	100.0
143	8	3	9	HCRB	HNZ	NC	01	36.9553	-121.582	2018-10-05T13:29:43.500	146	51	-0.3600625	12750.19	135	-2.647413	338255.1	TTWINDOW	2.824	1	4.209	1	1	1	1	1	1	1	0	0.0	31.9	320.25	0	0.112	-1.0	0.0	100	100.0
143	8	2	10	HCBB	HNZ	NC	01	36.9309	-121.6619	2018-10-05T13:29:44.250	74	71	0.07114427	6971.226	27	-2.655496	465.0134	TTWINDOW	5.695	1	4.257	1	1	1	1	1	1	1	0	0.0	35.1	308.44	0	-0.123	-1.0	0.0	100	100.0
143	9	4	1	SAO	HNZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.088	487	120	-0.30538	3675330.0	260	-1.89848	19859920.0	MULTISTA	3.188	1	4.374	1	1	1	1	1	1	1	0	0.0	9.0	291.36	0	-0.007	-1.0	0.0	100	100.0
143	9	4	2	SAO	HHZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.108	485	206	-0.3425431	112604.1	247	-1.875756	-1.0	MULTISTA	2.941	1	4.402	0	1	1	1	0	1	1	0	0.0	9.0	291.36	0	-0.027	-1.0	0.0	100	100.0
143	9	7	3	BSR	HNZ	NC	--	36.6674	-121.5203	2018-10-05T13:29:41.180	289	264	-0.3459127	99321.11	286	-2.132819	8073888.0	MULTISTA	2.918	1	4.453	1	1	1	1	1	1	1	0	0.0	16.7	243.64	0	0.011	-1.0	0.0	138	100.0
143	9	3	6	1865	HNZ	NP	--	36.8831	-121.3908	2018-10-05T13:29:41.270	386	123	-0.558662	15414.83	52	-1.830575	188678.6	NEAR_SRC	1.501	1	4.832	1	1	1	1	1	1	1	0	0.0	16.9	348.42	0	-0.05	-1.0	0.0	200	200.0
143	9	4	5	PACP	HHZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	262	245	-0.5097874	22836.56	28	-2.38656	348593.4	MULTISTA	1.827	1	4.512	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.127	-1.0	0.0	100	100.0
143	9	3	4	PACP	HNZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5491537	31992.05	28	-2.428661	485357.0	MULTISTA	1.565	1	4.461	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.127	-1.0	0.0	100	100.0
143	9	2	7	BJOB	HNZ	NC	--	36.6109	-121.3147	2018-10-05T13:29:41.090	141	54	-0.5398242	833032.6	15	-2.312031	3721618.0	NEAR_SRC	1.627	1	4.134	1	1	1	1	1	1	1	0	0.0	14.1	166.01	0	-0.291	-1.0	0.0	743	100.0
143	9	2	8	HTU	HNZ	NC	--	36.8268	-121.6435	2018-10-05T13:29:42.800	118	67	-0.2326478	12182.71	24	-2.738505	30988.3	TTWINDOW	3.672	1	4.016	1	1	1	1	1	1	1	0	0.0	27.9	291.66	3	0.159	-1.0	0.0	100	100.0
143	9	3	9	HCRB	HNZ	NC	01	36.9553	-121.582	2018-10-05T13:29:43.500	146	51	-0.3600625	12750.19	135	-2.647413	338255.1	TTWINDOW	2.824	1	4.209	1	1	1	1	1	1	1	0	0.0	31.9	320.25	0	0.116	-1.0	0.0	100	100.0
143	9	2	10	HCBB	HNZ	NC	01	36.9309	-121.6619	2018-10-05T13:29:44.250	74	71	0.07114427	6971.226	27	-2.655496	465.0134	TTWINDOW	5.695	1	4.257	1	1	1	1	1	1	1	0	0.0	35.1	308.44	0	-0.118	-1.0	0.0	100	100.0
143	9	2	11	BSG	HNZ	NC	01	36.4138	-121.2552	2018-10-05T13:29:44.430	56	53	-0.6041525	100538.5	18	-3.099078	1571712.0	TTWINDOW	1.199	1	3.737	1	1	1	1	1	1	1	0	0.0	36.7	166.17	0	-0.046	-1.0	0.0	100	100.0
143	10	4	1	SAO	HNZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.088	487	120	-0.30538	3675330.0	260	-1.89848	19859920.0	MULTISTA	3.188	1	4.374	1	1	1	1	1	1	1	0	0.0	9.0	291.36	0	-0.007	-1.0	0.0	100	100.0
143	10	4	2	SAO	HHZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.108	485	206	-0.3425431	112604.1	247	-1.875756	-1.0	MULTISTA	2.941	1	4.402	0	1	1	1	0	1	1	0	0.0	9.0	291.36	0	-0.027	-1.0	0.0	100	100.0
143	10	7	3	BSR	HNZ	NC	--	36.6674	-121.5203	2018-10-05T13:29:41.180	289	264	-0.3459127	99321.11	286	-2.132819	8073888.0	MULTISTA	2.918	1	4.453	1	1	1	1	1	1	1	0	0.0	16.7	243.64	0	0.011	-1.0	0.0	138	100.0
