eventid	version	sta	net	lat	lon	cluster	dist	tt	time	time check	active	trig	clu	ctrig
649	0	H2O	UW	46.3956	-119.4241	-	114.59	19.1	2018-10-31T17:21:16	-254.0	0	0	0	0
649	0	ALKI	UW	47.5751	-122.4176	-	155.19	25.9	2018-10-31T17:21:16	-260.0	0	0	0	0
649	0	DDRF	UW	46.4911	-119.0595	-	139.83	23.3	2018-10-31T17:21:16	-258.0	0	0	0	0
649	0	TBPA	UW	47.2579	-122.3682	-	131.69	21.9	2018-10-31T17:20:22	-310.0	0	0	0	0
649	0	H2E	UW	46.5578	-119.5345	-	102.84	17.1	2018-10-31T17:20:32	-296.0	0	0	0	0
649	0	H3A	UW	46.3632	-119.2775	-	126.39	21.1	2018-10-31T17:21:16	-256.0	0	0	0	0
649	0	TOLT	UW	47.6947	-121.6895	-	130.86	21.8	2018-10-31T17:20:31	-301.0	0	0	0	0
649	0	MOX	UW	46.5772	-120.2993	-	44.7	7.5	2018-10-31T17:21:16	-242.0	0	0	0	0
649	0	BNG	UW	47.5255	-122.3017	-	145.01	24.2	2018-10-31T17:21:16	-258.0	0	0	0	0
649	0	LTY	UW	47.2545	-120.6664	-	68.28	11.4	2018-10-31T17:20:31	-291.0	0	0	0	0
649	0	PCEP	UW	47.1116	-122.29	-	118.97	19.8	2018-10-31T17:21:00	-270.0	0	0	0	0
649	0	MANO	UW	46.9511	-120.7247	-	34.61	5.8	2018-10-31T17:21:16	-240.0	0	0	0	0
649	0	MDW	UW	46.613	-119.7622	-	84.95	14.2	2018-10-31T17:21:16	-249.0	0	0	0	0
649	0	CCRK	UW	46.5585	-119.8548	-	78.54	13.1	2018-10-31T17:21:16	-247.0	0	0	0	0
649	0	OT3	UW	46.6689	-119.2341	-	125.07	20.8	2018-10-31T17:21:16	-255.0	0	0	0	0
649	0	MRN	UW	47.5925	-122.2322	-	146.28	24.4	2018-10-31T17:21:16	-259.0	0	0	0	0
649	0	WA2	UW	46.7552	-119.5668	-	100.19	16.7	2018-10-31T17:21:16	-251.0	0	0	0	0
649	0	SNI2	UW	46.4648	-119.6552	-	95.52	15.9	2018-10-31T17:21:16	-250.0	0	0	0	0
649	0	GLDO	UW	45.8388	-120.8148	-	91.08	15.2	2018-10-31T17:20:31	-295.0	0	0	0	0
649	0	PIER	UW	47.5835	-122.3402	-	151.46	25.2	2018-10-31T17:21:16	-259.0	0	1	0	0
649	0	EPH2	UW	47.3703	-119.6116	-	124.25	20.7	2018-10-31T17:21:16	-255.0	0	0	0	0
649	0	H2W	UW	46.5517	-119.6453	-	94.51	15.8	2018-10-31T17:21:16	-250.0	0	0	0	0
649	0	RNAV	UW	47.575	-122.2948	-	148.31	24.7	2018-10-31T17:21:16	-259.0	0	0	0	0
649	0	MAC	UW	47.2467	-122.5318	-	141.96	23.7	2018-10-31T17:21:16	-258.0	0	0	0	0
649	0	HART	UW	47.5838	-122.3501	-	152.03	25.3	2018-10-31T17:21:16	-259.0	0	0	0	0
649	0	UPS	UW	47.2639	-122.4836	-	139.63	23.3	2018-10-31T17:21:16	-257.0	0	0	0	0
649	0	WOLL	UW	47.0573	-118.921	-	154.95	25.8	2018-10-31T17:20:32	-304.0	0	0	0	0
